,uid,average_activity,day_average_activity,night_average_activity,night_walk_activity_second,night_run_activity_count,night_run_activity_second,night_peace_activity_second,day_walk_activity_count,day_walk_activity_second,day_run_activity_second,day_peace_activity_second,average_audio,day_average_audio,night_average_audio,night_talk_audio_second,night_talk_audio_count,night_noise_audio_count,night_noise_audio_second,night_silent_audio_second,night_silent_audio_count,day_talk_audio_second,day_talk_audio_count,day_noise_audio_count,day_noise_audio_second,day_silent_audio_second,day_silent_audio_count,night_start_phonecharge_count_sum,night_start_phonecharge_span_sum,night_end_phonecharge_count_sum,night_end_phonecharge_span_sum,day_start_phonecharge_count_sum,day_start_phonecharge_span_sum,day_end_phonecharge_count_sum,day_end_phonecharge_span_sum,night_charge_sum,night_charge_percent,average_night_charge_span_second,night_start_phonelock_count_sum,night_start_phonelock_span_sum,night_end_phonelock_count_sum,night_end_phonelock_span_sum,day_start_phonelock_count_sum,day_start_phonelock_span_sum,day_end_phonelock_count_sum,day_end_phonelock_span_sum,night_lock_sum,night_lock_percent,average_night_lock_span_second
0,u00,0.1097673263975085,0.1383845761277133,0.0289531140778584,29045,29,16871,541604,2801,369696,73931,4128102,0.8344407148219417,0.889986238672174,0.6721253722893642,177667,42580,57966,154394,750135,35432,609079,152544,201516,579545,1950983,110447,42,747188,21,255090,33,365713,46,715191,466056,0.4187757940733272,7170.092307692307,65,967639,55,496708,161,1169825,168,1604166,705269,0.3299559665098453,10850.292307692309
1,u01,0.0863172922237729,0.0974752046654991,0.0518254411046795,40229,128,10723,772571,2562,179200,90044,3901375,0.8072553308782656,0.7478870794501524,0.9110010069475164,181746,94533,120134,300249,385728,67782,428938,134036,160582,352323,1759524,102739,14,404393,1,17041,30,591986,24,559283,90934,0.0912644686409488,1466.6774193548388,73,993101,78,981226,143,2091456,138,2103331,1248692,0.404820530144199,19820.507936507936
2,u02,0.0598311639221919,0.0640382769255908,0.0465651743376297,68687,41,1049,971110,1166,276276,4672,4281182,0.6543004114721277,0.606173440810462,0.7528813753781767,147269,57590,79683,202709,739822,41865,272891,96037,125891,325273,3217776,66933,68,1164777,37,289796,37,391092,66,1232007,445610,0.2864058606476509,6855.538461538462,55,881141,36,222206,101,731916,120,1390851,358153,0.2220336913078707,5510.046153846154
3,u03,0.013342311154699,0.0175179071940205,0.0006788465511643,728,0,0,180483,260,53684,4078,2151485,0.2004384285524688,0.2383659266767329,0.0979209209972574,4451,4735,9372,16787,1134926,10232,71088,19911,37467,96112,2901300,33430,22,549798,14,222073,25,395477,25,592474,351876,0.3722472296421676,7330.75,38,736766,33,444264,64,777938,68,1060619,520743,0.3437919223821948,9468.054545454546
4,u04,0.144272227261151,0.1501422617676361,0.1269678876021978,89404,303,34981,674812,2671,262915,133953,3627244,0.9561295070563282,0.981224801639539,0.8947938775910749,267246,62109,76063,156722,580659,43959,797913,161510,184098,359090,1764943,97211,54,1363928,3,19525,6,55083,18,437239,353104,0.2488380992113521,6305.428571428572,91,1665209,75,932267,150,1828460,166,2561402,1288502,0.3688105541767122,23008.964285714286
5,u05,0.0412989640378108,0.045334960045332,0.0289242279190157,39120,64,2601,557719,855,156916,13007,4132646,0.6558018185720806,0.6457294172087793,0.6789482307190573,127264,50363,61052,140403,796555,43221,341188,106111,132428,281012,2126278,100715,42,834078,23,173136,30,261908,47,876141,302114,0.2756549809942827,4872.806451612903,60,1134913,61,755500,120,1269445,119,1648858,947800,0.3942008635985157,15044.444444444443
6,u07,0.0659114695236563,0.0677605591005773,0.0602193312547037,36461,136,12388,653229,1424,122934,39391,2856403,0.6485833163101183,0.6413620043814572,0.66500188321022,133003,33602,49674,91630,651826,35265,302370,69614,91284,189302,1871420,55332,24,501108,14,148212,24,392838,19,373632,264267,0.2956185272935949,5505.5625,49,838020,49,657457,104,1529819,101,1636702,843100,0.3560630600306862,17938.297872340427
7,u08,0.079257187783008,0.078212364522882,0.082410332280379,77975,205,18310,1083112,1827,201309,62822,4002495,0.7074957610317317,0.6129645914903296,0.8714038961614142,202084,91610,119330,259420,725947,73122,313983,106275,148798,346420,2613108,103716,42,447813,30,213263,65,858738,68,941216,290627,0.2224383127792179,4613.126984126984,84,625348,63,365729,192,1731754,213,1991373,499573,0.211943734297455,8057.629032258064
8,u09,0.0702719454559541,0.0780684227638661,0.046436945662147,50226,71,4661,783535,2235,237951,31921,4226266,0.718957420592982,0.6914444328540293,0.7737453470172589,111912,69212,105041,302450,585363,67529,404301,117686,177307,459979,2590113,124949,48,1078130,22,212761,23,206558,35,693629,404340,0.3147378974505872,6317.8125,89,1638074,86,957355,130,1603946,132,2262197,1227106,0.3785004410830285,19173.53125
9,u10,0.047563880138185,0.058036409694611,0.0169758266019258,15247,46,4982,417707,1233,176433,39722,4992616,0.6298976758808648,0.6614128985785183,0.5461305707985025,106801,41439,52179,117186,1063691,34461,416140,127734,170174,347819,2482690,133402,10,98722,20,247118,75,715012,57,465564,343434,0.4220470079903261,5283.6,89,1400818,88,753672,212,1592030,212,2216508,987533,0.3299643015615895,15192.815384615384
10,u12,0.0515983209557636,0.0615306970044265,0.0226609586680655,21682,67,6679,761146,1855,151281,52024,4575049,0.6122462719636488,0.6325554524705307,0.5608205879131332,71310,37277,54906,163135,985447,36788,312971,102180,154440,415800,2927930,104490,59,1552983,12,148669,35,316737,68,1478469,609886,0.3261910874355518,9529.46875,120,1769033,90,645694,219,1408595,249,2531934,1139077,0.3584676998062706,17524.26153846154
11,u13,0.0428434360140098,0.0413060619292497,0.0473772952140964,33593,73,10723,978813,1032,91695,23610,3284789,0.5097986469656318,0.461979783261998,0.6025132822193237,88320,41201,59860,146184,854774,46854,166103,57478,84329,203469,2729623,68535,31,305919,39,319740,66,558331,58,544510,344888,0.3990604570436795,5653.901639344263,75,1011646,59,433616,122,985410,138,1563440,535046,0.2679173743750801,8629.774193548386
12,u14,0.0993834611139956,0.0715820376080921,0.1871828182098563,185958,214,13469,645838,1470,213142,17546,3843678,0.916176616650634,0.819502912597559,1.0923434641698069,275600,98447,114931,241031,400454,45237,535918,136650,164512,389042,2028461,83125,28,584139,14,135878,41,500679,33,420818,256973,0.2368812095669504,4144.725806451613,75,993143,73,650212,142,1457902,140,1760694,865682,0.353188945939385,13740.984126984127
13,u15,0.0403248236394744,0.0463381257479201,0.0235605855028971,16725,9,731,598885,309,84370,8331,2563289,0.700185309186041,0.7198997694421051,0.6589087160117935,52455,29230,48695,107316,399796,36066,178571,57234,84258,192383,1401073,52544,13,186621,12,132004,17,138745,13,101710,176926,0.5437753176422859,2808.3492063492063,20,395192,19,256757,38,494684,36,598965,367650,0.4131474497570448,5835.714285714285
14,u16,0.051666246262886,0.0576607554038552,0.0348514290659345,39900,36,3650,639841,1159,174404,22572,4379198,0.5210667940510139,0.5224792616716268,0.5184468066367938,66482,39079,77721,174618,834815,64403,238524,68887,105454,237312,2956071,71379,30,519211,26,240831,52,554375,55,822589,336113,0.3130750587284111,5335.126984126984,76,1193765,79,687098,166,1384996,162,1887106,919774,0.3566728362961903,14599.587301587302
15,u17,0.0363112391930835,0.0441652448167106,0.0129790338683664,17452,14,1204,541919,793,151511,15809,3859869,0.5275206408955998,0.5496804217274606,0.4655099434606953,101258,25951,30914,100441,1178422,29262,269312,74686,108195,361725,2827110,84362,27,435523,25,275904,54,639062,41,640397,379133,0.352818064648213,6115.048387096775,65,988239,73,867440,164,2017668,156,2138467,1059214,0.3523775020318326,16295.6
16,u18,0.032955847672985,0.0387591933353466,0.0155615696887686,20720,6,458,457271,648,122718,13473,3209180,0.5014661059975982,0.5103208600249891,0.4812896317844917,48660,27297,44681,126570,580677,36415,193541,65723,93197,247726,1903254,67832,28,462134,24,263058,42,443532,42,555121,374104,0.413070602186678,6235.066666666667,54,886384,49,553655,110,1143444,115,1476173,722704,0.35604198976465,11656.516129032258
17,u19,0.0375348621010226,0.0404752243344445,0.0285160619475997,38974,12,752,1173730,663,171984,2782,4092245,0.529732477478246,0.5087609868161335,0.5784892684885121,125153,39741,56679,164162,1208217,41465,226586,83021,127189,309268,2243416,95997,36,275831,51,492341,69,615845,52,389105,493245,0.5531661724662321,7588.384615384615,103,1684443,73,521603,151,1203657,181,2366497,798804,0.2765846057961982,12289.292307692309
18,u20,0.0259739520642861,0.0247226420311428,0.0297529169526424,26354,19,921,589585,306,63920,3094,2349065,0.4819545297047896,0.4509027299724974,0.5469082240983915,79937,26737,35270,93135,684141,28286,192943,44049,53025,122469,2001299,45835,13,179284,13,153502,21,327442,18,278642,213016,0.4203770874200258,4019.169811320755,41,451162,47,480762,69,925877,63,896277,561857,0.4080182188013556,10404.75925925926
19,u22,0.0617965108567412,0.0619319289726445,0.0614112784174785,46417,168,14518,1009851,1108,114371,49374,3611180,0.5880163833086738,0.522609205283196,0.7121539030197794,172405,48764,52721,116018,459324,32790,391306,62527,68867,122579,2039435,47605,20,256257,19,251394,39,526788,30,365032,349179,0.4459245637223914,5455.921875,82,1048439,87,820911,130,1461983,125,1689511,935620,0.3726943119523331,14394.153846153846
20,u23,0.0229622933382812,0.0303034677491533,0.0012549515093566,1402,0,0,479917,788,94845,10016,3700881,0.5255687782204665,0.601202684994995,0.2821490459641363,66487,17243,13189,30297,937471,16975,363596,93351,108551,239745,2063922,94000,5,83365,13,253541,133,1678870,106,1197951,594891,0.3375775648537227,10623.05357142857,80,1307632,36,346219,134,916505,178,1877918,1183099,0.5319362071670944,21126.76785714286
21,u24,0.0656713999230255,0.0610535405872193,0.0795711152627731,48325,52,3486,376172,811,72715,28051,1968696,0.7150197619320997,0.6488992382345216,0.8384991879440068,71827,38825,49712,137361,354589,26495,127527,51509,71527,217266,1283341,43489,14,227270,15,182735,16,338635,3,58105,209716,0.3705851688887711,7489.857142857143,47,552378,42,416165,79,846203,83,959056,500193,0.3576432112262357,16673.1
22,u25,0.0883306500614269,0.0864963856586804,0.0933870940868724,49725,97,10150,784409,1177,117225,27286,2203023,0.7808098671700174,0.7479081280422263,0.8396012624995852,82941,41552,59446,169995,418134,36302,235280,65129,96191,343440,1130763,59641,10,111793,16,128033,18,138901,5,34299,139708,0.5572849769041142,2367.93220338983,30,433379,38,400539,74,815451,65,843428,471354,0.3774364805457909,7602.483870967741
23,u27,0.0322022361111388,0.0352684403292291,0.0231382768696201,31753,23,1389,1266770,984,115389,13504,3908307,0.5619780610417203,0.4796274175542668,0.7113755580393112,155484,63994,88018,160924,851014,66719,193358,72665,103404,239870,2883340,81582,30,447343,32,335477,43,504189,26,245848,431986,0.4539899866741213,6749.78125,40,428732,50,380908,107,1193797,97,1241621,429139,0.2644877225615074,6705.296875
24,u30,0.0737706826025956,0.0723563569682151,0.0779641391809234,98195,107,9314,819777,1226,248109,30056,4029499,0.9225299334509394,0.8913254231628159,0.9857759108440436,239850,92598,113756,266989,566112,50522,582646,161264,206315,416012,2050305,107306,38,893267,13,103139,28,352865,38,777775,259895,0.2085613723104775,4060.859375,78,1357735,72,790923,158,1809992,164,2376804,1099343,0.3470447421763302,16912.96923076923
25,u31,0.0516119318086761,0.0510932913898914,0.0531236440740407,62893,123,8334,948853,1560,189192,23273,4124958,0.6173124678055649,0.6153133355808044,0.6220152644518903,108043,50086,70139,179357,943963,58226,276355,117814,177618,363102,2333063,153805,36,346314,37,336922,77,734854,76,744246,413394,0.3823587083598478,6667.645161290323,64,508219,39,282678,144,1114912,169,1340453,432771,0.2666272777736362,6762.046875
26,u32,0.0834013876512612,0.0756429389008823,0.1073821295500143,128213,184,8751,783788,2032,232888,38337,3934308,0.7723686128399114,0.6985779528320124,0.9162803301189348,178817,81734,99459,222146,475207,43706,300767,121588,160424,345237,2095064,89513,35,851324,18,186030,42,523936,52,1022134,306007,0.2225084711254599,4781.359375,77,1281725,83,938978,151,1631345,144,1951124,1105494,0.3794944851994631,17007.6
27,u33,0.0532812639192185,0.0517543294920491,0.0578126343341325,61304,57,3477,921608,1165,137682,16475,3427939,0.7085211410900268,0.6149401975952737,0.8793556015370972,156973,63361,65203,197342,667739,30124,264689,81357,90329,224697,2363881,53699,22,317599,14,103122,46,909853,35,681321,181009,0.1474672736693573,3694.061224489796,71,600011,67,425194,115,1321054,119,1495871,509519,0.2652273608649369,8218.048387096775
28,u34,0.0493952869789285,0.0539870890114109,0.0356171541905678,25026,57,3500,567269,899,93530,17012,2525425,0.6620893375459146,0.5961551364746509,0.7879782984202087,124843,32474,46537,123988,495533,28569,153148,48462,69341,192277,1792342,44988,9,100887,7,78601,18,219047,11,116297,119690,0.3741084098595335,1994.8333333333333,8,138429,13,180471,32,383109,23,234517,230860,0.442652309131837,3847.6666666666665
29,u35,0.0421787216602819,0.0432718812432036,0.0388943341463229,34778,92,11902,519233,1040,96279,43935,3104833,0.4640243623725986,0.4394946808510638,0.5176107096404607,114946,27151,45017,126410,1130897,31607,241307,53936,77382,211570,3277505,50388,12,151494,14,202360,30,461361,24,305405,237512,0.3875500730189033,3893.6393442622953,29,387424,44,579747,75,920685,57,681247,626667,0.4790632890684186,9791.671875
30,u36,0.0798129696323414,0.0797596911066746,0.0799750078100593,51853,247,24168,1128666,1982,147782,78558,4044679,0.5184383838157617,0.489961108930674,0.5795886907580305,128526,36532,51363,123546,828455,38834,317154,60116,87716,197798,2647382,64963,24,513337,15,218797,39,649964,46,914894,325665,0.2799490415636194,5427.75,121,1399319,113,735564,212,1825747,220,2489502,901916,0.2796581527323782,14092.4375
31,u39,0.0035619260149343,0.0044407733324609,0.0009305059013663,673,1,0,25970,33,6015,427,574084,0.1840883705961418,0.151633759694052,0.2515562342627996,4259,4135,10160,24456,400887,9270,9456,5903,12357,37500,1220314,11488,0,0,0,0,1,22789,0,0,0,0.0,,4,29476,2,38913,9,108853,4,23893,100444,0.7261239508707502,3720.148148148148
32,u41,0.0349068870968206,0.0357146927100545,0.0323626531393568,20792,54,4794,702486,496,85867,10461,2413092,0.6129066500866281,0.5620610487093137,0.7211194832302851,89588,44008,54873,113418,630441,36794,237932,62804,89318,207100,1958044,62561,19,208222,31,384831,33,462511,15,171151,394126,0.5876049038887307,6461.081967213115,25,358785,29,308071,43,610056,39,660770,335867,0.3466688548482155,5506.016393442623
33,u42,0.0292407665614512,0.0339897993373292,0.0137029683674587,13102,15,976,436964,457,79321,9289,2732207,0.4788985202122158,0.4787249707634006,0.4792862858804576,23231,20542,40673,117133,618897,31441,106885,46866,74725,200233,2122750,50710,9,148796,6,117648,20,333735,12,136405,321584,0.6664525180765588,6562.938775510204,30,314386,32,330875,68,870705,66,854216,459530,0.3877592522430766,9378.163265306122
34,u43,0.0700371045554286,0.0851069019345487,0.0271444297884579,26609,45,2314,576554,1390,200372,35803,3632930,0.6409180674701661,0.6878259401044565,0.5455750525564834,64710,38284,72468,131546,762462,60342,468139,87140,122052,206995,2078020,82769,41,649735,32,237450,28,191580,21,130517,350343,0.4164230995524863,6146.368421052632,59,1042434,49,404244,103,959348,112,1580860,559009,0.279255683186281,9638.086206896553
35,u44,0.0194341038695013,0.0233912764298491,0.0078175621660285,7679,14,1812,369174,456,75608,8095,4091898,0.4066769001982629,0.4405366730993921,0.3151330157046638,44694,17719,24384,65928,993757,24240,170261,56161,80654,277506,2892461,69957,21,249668,24,240366,29,282032,20,202729,306415,0.576293022381042,5571.181818181818,71,1097644,74,639381,154,1430860,151,1889123,839192,0.3318926922797037,14223.593220338984
36,u45,0.0276415762276632,0.0301480736728685,0.0207568273827788,23032,23,1254,709506,561,74990,7390,2371647,0.6529972352008974,0.6366719874433935,0.6834487586966812,70656,32785,49200,178671,577088,33281,214610,58762,76239,206365,1777141,44576,22,240834,21,286789,35,420038,23,213860,415965,0.6294184047742982,7297.631578947368,68,695588,71,555315,116,1167609,113,1307882,679605,0.3647520900903125,11922.894736842103
37,u46,0.1487473578765235,0.1106128833483433,0.2684407327693086,223955,427,38428,715517,2132,185177,84667,3174420,0.8462884617576258,0.6669185039721504,1.1055726678530582,284766,116064,132505,260052,440415,54223,317816,99556,128797,263842,2042758,83379,23,356131,15,122633,46,792181,48,925425,152326,0.1326521015194476,2929.346153846154,48,408590,37,199733,116,1125478,127,1334335,261161,0.1702408237444494,5022.326923076923
38,u47,0.0379779482880907,0.0416140355774531,0.0276747842078723,21876,36,3149,792233,744,86104,11936,2576540,0.5497661761118231,0.5105361128898868,0.626835454642688,157288,25487,29680,62457,796719,19049,265844,35119,39815,81951,2028670,24928,33,368685,34,350188,26,311312,17,224881,425576,0.6258498199256761,6976.655737704919,31,235280,41,395874,54,742314,36,441288,414043,0.4235326730728707,6678.112903225807
39,u49,0.0571767516716165,0.058733712673365,0.0526693335228998,48156,370,3078,977969,4031,157708,17536,4163583,0.6186047011227438,0.636405970597361,0.5714943178321032,143047,52288,58919,88337,988424,54207,346320,163712,216565,271923,2606100,203499,45,586260,49,486968,102,860937,98,960229,664615,0.4592429365179723,10384.609375,75,760772,62,470091,204,1531332,217,1822013,713338,0.311215372426382,11322.825396825398
40,u50,0.016875517942794,0.0196107292325959,0.0094354731082343,6822,0,0,299299,162,43573,545,2087447,0.3184686780040949,0.3120181005313294,0.3317957471658066,11676,10794,24257,67563,694046,21553,45455,21310,41764,108928,1903193,35196,9,119819,3,38531,18,245766,10,85198,207364,0.567211455612238,3456.0666666666666,37,395634,47,520645,64,781862,54,656851,618402,0.5251839496694681,9662.53125
41,u51,0.0877993635111385,0.0897544432454834,0.0818760910176706,86644,137,16575,1007230,1805,212989,79921,4022959,0.5509423123681051,0.514547204742962,0.6324212304372263,181252,42737,55942,105688,1011535,42995,332754,72274,100489,225945,3124490,78766,32,892927,4,35125,23,424285,7,65913,187659,0.1424668162755881,2932.171875,116,1773142,124,1306344,200,2109697,192,2576495,1520247,0.3915297543884771,23388.415384615382
42,u52,0.2628300377185964,0.2665911373776542,0.2513780717664213,74055,31,18293,748619,652,197440,152268,3833008,0.4060622840280649,0.2914884839832579,0.6012145653097284,141523,28732,40483,78177,955599,29975,178468,24374,34844,58339,3498371,32200,26,472013,22,187714,40,434469,41,632188,276294,0.304798109614973,4385.619047619048,112,1301672,109,802270,204,1648204,207,2147606,1098989,0.3725543039775231,17444.26984126984
43,u53,0.024179285126767,0.0257308559224022,0.0193389808190317,26682,16,1082,674010,516,94921,4704,3620229,0.5276821951128401,0.499596101028596,0.5863073253196378,85499,36254,66018,187195,859244,53618,193779,67189,108937,304080,2690278,87380,17,243181,15,164594,32,469933,14,101348,266304,0.3734381880036011,4227.047619047619,67,796032,64,670177,174,2111849,177,2237704,964816,0.331793494988275,14843.323076923078
44,u54,0.073803864128647,0.0786077616693984,0.0606359636393187,54418,105,5730,693524,1631,175291,25783,2809811,0.5700563498198702,0.5484398951556998,0.6126419456034021,78443,36247,49087,132190,568959,30025,181505,62318,85338,240730,1921427,55791,28,332753,22,181160,38,380159,38,466725,239430,0.3358479026864466,3800.4761904761904,55,555556,44,300063,110,883631,121,1139124,440626,0.3061631323796004,6994.063492063492
45,u56,0.057870716415023,0.0606725318152948,0.049569641425933,42806,75,5829,784742,1691,135120,33282,3680926,0.6366401434186031,0.5268019441860305,0.8352819610315773,212067,52243,60771,122394,696063,28426,320306,59035,70658,140094,2665238,50001,16,406996,6,43935,23,243489,27,530190,98775,0.1518482363159796,1543.359375,43,656412,52,595133,94,1161221,85,1222500,701168,0.3857588413062482,10787.2
46,u57,0.11962871056669,0.1224331416745783,0.1107985557141657,95348,263,22094,943812,2938,238999,125276,4052795,0.8894972662749254,0.7957021301414694,1.05791192935392,409927,102848,113765,271341,490661,46976,703807,138796,150585,295422,2516696,77584,57,1003749,32,237832,52,680550,50,739107,388802,0.2308390612355644,5981.569230769231,90,705002,70,403785,202,1831601,222,2132818,576596,0.227310304371634,8870.707692307693
47,u58,0.045291776386094,0.0450535440414228,0.0459990877007658,51412,63,6747,666602,1037,146278,22188,4095211,0.6880960052798757,0.6224392718127868,0.8103492820896353,161798,59662,76509,248742,648974,41946,278211,89889,105612,309654,2442429,54021,32,833988,6,75834,28,383911,49,1050556,213704,0.1754693944243324,3392.126984126984,98,1511686,95,945757,168,1689822,170,2242826,1160881,0.3626044351599309,18426.68253968254
48,u59,0.112626490054053,0.1143573653034545,0.1077269696379833,113389,593,15800,1047109,9528,282376,77544,3756795,0.8752856987316748,0.8548332864804679,0.9223664658096644,402651,110747,119838,174252,596400,81567,1286237,183944,187403,291379,1645652,138743,66,739781,56,437538,88,1024554,90,1173785,544980,0.308886917733877,8384.307692307691,40,511749,32,220151,105,1006124,103,1106306,288035,0.1897622528366997,4431.307692307692
